index,name,datatype,source_node,source_property
254,UL20_22_JR1_PB_OIP,BOOL,UL20_22_JR1,pushbutton_tag_name
255,UL20_22_TPE1_OIP,BOOL,UL20_22_TPE1,tag_name
256,UL20_22_VFD:I.ConnectionFaulted,BOOL,UL20_22_VFD_APF,connection_faulted_tag_name
257,UL20_22_VFD:I.DisconnectClosed,BOOL,UL20_22_VFD_APF,disconnect_closed_tag_name
258,UL20_22_VFD:I.Fault,BOOL,UL20_22_VFD_APF,fault_tag_name
259,UL20_22_VFD:I.KeypadHandMode,BOOL,UL20_22_VFD_APF,keypad_hand_mode_tag_name
260,UL20_22_VFD:I.OutputCurrent,REAL,UL20_22_VFD_APF,output_current_tag_name
261,UL20_22_VFD:I.OutputVoltage,REAL,UL20_22_VFD_APF,output_voltage_tag_name
262,UL20_22_VFD:I.Running,BOOL,UL20_22_VFD_APF,running_tag_name
263,UL20_22_VFD:I.SafeTorqueEnabled,BOOL,UL20_22_VFD_APF,safe_torque_enabled_tag_name
264,UL20_22_VFD:I.TripFaultCode,DINT,UL20_22_VFD_APF,trip_fault_code_tag_name
265,UL20_22_VFD:I.Velocity,REAL,UL20_22_VFD_APF,velocity_tag_name
266,UL20_23_DISC_OIP,BOOL,UL20_23_DISC,aux_disconnect_closed_tag_name
267,UL20_23_TPE1_OIP,BOOL,UL20_23_TPE1,tag_name
268,UL20_23_VFD:I.ConnectionFaulted,BOOL,UL20_23_VFD_APF,connection_faulted_tag_name
269,UL20_23_VFD:I.DisconnectClosed,BOOL,UL20_23_VFD_APF,disconnect_closed_tag_name
270,UL20_23_VFD:I.Fault,BOOL,UL20_23_VFD_APF,fault_tag_name
271,UL20_23_VFD:I.KeypadHandMode,BOOL,UL20_23_VFD_APF,keypad_hand_mode_tag_name
272,UL20_23_VFD:I.OutputCurrent,REAL,UL20_23_VFD_APF,output_current_tag_name
273,UL20_23_VFD:I.OutputVoltage,REAL,UL20_23_VFD_APF,output_voltage_tag_name
274,UL20_23_VFD:I.Running,BOOL,UL20_23_VFD_APF,running_tag_name
275,UL20_23_VFD:I.SafeTorqueEnabled,BOOL,UL20_23_VFD_APF,safe_torque_enabled_tag_name
276,UL20_23_VFD:I.TripFaultCode,DINT,UL20_23_VFD_APF,trip_fault_code_tag_name
277,UL20_23_VFD:I.Velocity,REAL,UL20_23_VFD_APF,velocity_tag_name
278,UL20_24_DISC_OIP,BOOL,UL20_24_DISC,aux_disconnect_closed_tag_name
279,UL20_24_LPE1_MEASUREMENT,REAL,UL20_24_LPE1,tag_name
280,UL20_24_LPE1_OIP,BOOL,UL20_24_LPE1,output_tag_name
281,UL20_24_LPE2_MEASUREMENT,REAL,UL20_24_LPE2,tag_name
282,UL20_24_LPE2_OIP,BOOL,UL20_24_LPE2,output_tag_name
283,UL20_24_TPE1_OIP,BOOL,UL20_24_TPE1,tag_name
284,UL20_24_VFD:I.ConnectionFaulted,BOOL,UL20_24_VFD_APF,connection_faulted_tag_name
285,UL20_24_VFD:I.DisconnectClosed,BOOL,UL20_24_VFD_APF,disconnect_closed_tag_name
286,UL20_24_VFD:I.Fault,BOOL,UL20_24_VFD_APF,fault_tag_name
287,UL20_24_VFD:I.KeypadHandMode,BOOL,UL20_24_VFD_APF,keypad_hand_mode_tag_name
288,UL20_24_VFD:I.OutputCurrent,REAL,UL20_24_VFD_APF,output_current_tag_name
289,UL20_24_VFD:I.OutputVoltage,REAL,UL20_24_VFD_APF,output_voltage_tag_name
290,UL20_24_VFD:I.Running,BOOL,UL20_24_VFD_APF,running_tag_name
291,UL20_24_VFD:I.SafeTorqueEnabled,BOOL,UL20_24_VFD_APF,safe_torque_enabled_tag_name
292,UL20_24_VFD:I.TripFaultCode,DINT,UL20_24_VFD_APF,trip_fault_code_tag_name
293,UL20_24_VFD:I.Velocity,REAL,UL20_24_VFD_APF,velocity_tag_name
294,UL20_25_DISC_OIP,BOOL,UL20_25_DISC,aux_disconnect_closed_tag_name
295,UL20_25_VFD:I.ConnectionFaulted,BOOL,UL20_25_VFD_APF,connection_faulted_tag_name
296,UL20_25_VFD:I.DisconnectClosed,BOOL,UL20_25_VFD_APF,disconnect_closed_tag_name
297,UL20_25_VFD:I.Fault,BOOL,UL20_25_VFD_APF,fault_tag_name
298,UL20_25_VFD:I.KeypadHandMode,BOOL,UL20_25_VFD_APF,keypad_hand_mode_tag_name
299,UL20_25_VFD:I.OutputCurrent,REAL,UL20_25_VFD_APF,output_current_tag_name
300,UL20_25_VFD:I.OutputVoltage,REAL,UL20_25_VFD_APF,output_voltage_tag_name
301,UL20_25_VFD:I.Running,BOOL,UL20_25_VFD_APF,running_tag_name
302,UL20_25_VFD:I.SafeTorqueEnabled,BOOL,UL20_25_VFD_APF,safe_torque_enabled_tag_name
303,UL20_25_VFD:I.TripFaultCode,DINT,UL20_25_VFD_APF,trip_fault_code_tag_name
304,UL20_25_VFD:I.Velocity,REAL,UL20_25_VFD_APF,velocity_tag_name
305,UL23_19_DISC_OIP,BOOL,UL23_19_DISC,aux_disconnect_closed_tag_name
306,UL23_19_EPC1_CH1_OIP,BOOL,UL23_19_EPC1,channel_1_tag_name
307,UL23_19_EPC1_CH2_OIP,BOOL,UL23_19_EPC1,channel_2_tag_name
308,UL23_19_FIOM1_OIP,BOOL,UL23_19_FIOM1,pushbutton_tag_name
309,UL23_19_S1_PB_OIP,BOOL,UL23_19_S1,pushbutton_tag_name
310,UL23_19_TPE1_OIP,BOOL,UL23_19_TPE1,tag_name
311,UL23_19_VFD:I.ConnectionFaulted,BOOL,UL23_19_VFD_APF,connection_faulted_tag_name
312,UL23_19_VFD:I.DisconnectClosed,BOOL,UL23_19_VFD_APF,disconnect_closed_tag_name
313,UL23_19_VFD:I.Fault,BOOL,UL23_19_VFD_APF,fault_tag_name
314,UL23_19_VFD:I.KeypadHandMode,BOOL,UL23_19_VFD_APF,keypad_hand_mode_tag_name
315,UL23_19_VFD:I.OutputCurrent,REAL,UL23_19_VFD_APF,output_current_tag_name
316,UL23_19_VFD:I.OutputVoltage,REAL,UL23_19_VFD_APF,output_voltage_tag_name
317,UL23_19_VFD:I.Running,BOOL,UL23_19_VFD_APF,running_tag_name
318,UL23_19_VFD:I.SafeTorqueEnabled,BOOL,UL23_19_VFD_APF,safe_torque_enabled_tag_name
319,UL23_19_VFD:I.TripFaultCode,DINT,UL23_19_VFD_APF,trip_fault_code_tag_name
320,UL23_19_VFD:I.Velocity,REAL,UL23_19_VFD_APF,velocity_tag_name
321,UL23_20_DISC_OIP,BOOL,UL23_20_DISC,aux_disconnect_closed_tag_name
322,UL23_20_TPE1_OIP,BOOL,UL23_20_TPE1,tag_name
323,UL23_20_VFD:I.ConnectionFaulted,BOOL,UL23_20_VFD_APF,connection_faulted_tag_name
324,UL23_20_VFD:I.DisconnectClosed,BOOL,UL23_20_VFD_APF,disconnect_closed_tag_name
325,UL23_20_VFD:I.Fault,BOOL,UL23_20_VFD_APF,fault_tag_name
326,UL23_20_VFD:I.KeypadHandMode,BOOL,UL23_20_VFD_APF,keypad_hand_mode_tag_name
327,UL23_20_VFD:I.OutputCurrent,REAL,UL23_20_VFD_APF,output_current_tag_name
328,UL23_20_VFD:I.OutputVoltage,REAL,UL23_20_VFD_APF,output_voltage_tag_name
329,UL23_20_VFD:I.Running,BOOL,UL23_20_VFD_APF,running_tag_name
330,UL23_20_VFD:I.SafeTorqueEnabled,BOOL,UL23_20_VFD_APF,safe_torque_enabled_tag_name
331,UL23_20_VFD:I.TripFaultCode,DINT,UL23_20_VFD_APF,trip_fault_code_tag_name
